date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2023-10-01,2,4,0,0,0,11,0,0,0,8,0,0,1,1,23,16,0,0,0,0,11,44,0,8,0
2023-11-01,2,5,0,0,0,5,0,0,0,0,0,0,1,1,25,15,0,0,0,7,11,49,3,9,0
2023-12-01,1,2,0,0,0,6,0,0,0,0,0,0,1,1,20,16,0,0,0,8,11,40,0,8,0
2024-01-01,1,1,0,0,0,21,0,0,0,0,0,0,1,1,14,12,0,0,0,0,14,42,3,7,0
2024-02-01,2,2,0,0,0,9,0,0,0,0,0,0,1,0,16,17,0,0,0,0,14,51,0,10,4
2024-03-01,3,4,0,0,0,0,0,0,0,0,0,0,1,1,21,31,0,0,0,0,14,52,0,7,3
2024-04-01,3,5,0,0,0,11,0,0,0,0,0,0,1,1,22,53,0,0,0,0,11,47,0,8,4
2024-05-01,2,5,0,0,0,8,0,0,0,0,0,0,1,1,22,22,0,0,0,0,17,56,4,9,5
2024-06-01,3,7,0,0,0,21,0,0,0,5,0,0,1,1,17,65,9,0,0,5,20,100,3,12,5
2024-07-01,1,3,0,0,0,7,0,0,0,0,0,0,1,0,14,47,0,0,0,6,15,44,0,10,14
2024-08-01,2,6,0,0,1,11,0,0,0,0,0,0,1,1,19,31,0,0,0,11,19,57,0,10,6
2024-09-01,3,7,0,0,0,9,0,0,0,0,0,0,2,1,20,29,0,0,0,16,13,47,4,14,5
2024-10-01,2,5,0,0,0,6,0,0,0,0,0,0,2,0,18,33,0,0,0,8,15,56,4,12,5
2024-11-01,2,5,0,0,0,8,0,0,0,0,0,0,2,1,24,56,10,0,0,15,20,61,0,13,8
2024-12-01,2,3,0,0,0,16,0,0,0,0,0,0,3,1,19,100,8,8,0,17,21,45,5,10,0
2025-01-01,1,1,0,0,0,9,0,0,0,0,0,0,3,1,16,70,0,0,0,19,19,35,4,9,0
2025-02-01,2,2,0,0,0,11,0,0,0,0,0,0,2,3,16,38,0,0,0,9,14,41,0,10,0
2025-03-01,3,4,0,0,0,6,0,0,0,0,0,0,2,1,15,50,0,0,0,17,16,44,5,9,5
2025-04-01,2,4,0,0,0,8,0,0,0,0,0,0,1,1,13,55,0,0,0,50,17,51,0,11,5
2025-05-01,2,4,0,0,0,0,0,0,0,0,0,0,1,1,15,27,0,0,0,11,20,51,3,11,5
2025-06-01,2,5,0,0,0,0,0,0,0,0,0,0,2,1,14,20,0,0,0,22,17,59,4,8,9
2025-07-01,2,3,0,0,0,7,0,0,0,0,0,0,3,1,15,33,0,0,0,42,18,42,4,17,6
2025-08-01,2,4,0,0,0,12,0,0,0,0,0,0,2,1,19,28,0,0,0,27,14,47,0,16,9
2025-09-01,2,4,0,0,0,0,5,0,0,0,0,0,2,1,17,29,0,0,0,9,23,66,5,16,9
2025-10-01,2,4,0,0,0,6,0,0,5,0,0,0,3,0,13,26,0,0,0,11,16,46,4,14,9
2025-11-01,2,4,0,0,0,11,0,8,0,0,0,0,3,0,16,26,0,0,0,8,17,62,4,16,8
2025-12-01,1,2,0,0,0,26,0,6,0,12,0,0,5,1,14,25,0,0,0,18,19,46,6,18,3
