date,stress_sum,stress_mean,article_count,stress_articles,financial_terms,stress_terms,negative_terms,sources,fsi_raw,fsi_proportion,news_fsi
2021-12-20,15.120955864630135,0.19385840852089917,78,10,45,11,12,"folha, valor",0.19385840852089917,0.1282051282051282,0.07914236387070227
2021-12-27,31.883638655352765,0.26350114591200635,121,21,91,19,25,"folha, valor, g1",0.26350114591200635,0.17355371900826447,0.10757389235384553
2022-02-28,4.146264369941973,0.8292528739883945,5,3,4,3,2,g1,0.8292528739883945,0.6,0.33854106816800733
2022-04-18,0.0,0.0,1,0,0,2,0,g1,0.0,0.0,0.0
2022-05-16,0.0,0.0,2,0,0,5,0,g1,0.0,0.0,0.0
2022-05-30,0.0,0.0,17,0,0,1,3,folha,0.0,0.0,0.0
2022-06-06,1.4142135623730951,0.3535533905932738,4,1,2,1,1,folha,0.3535533905932738,0.25,0.14433756729740646
2022-06-13,1.7320508075688772,0.09116056881941459,19,1,4,4,6,"folha, g1",0.09116056881941459,0.05263157894736842,0.03721614637823934
2022-06-20,0.0,0.0,7,0,4,0,1,folha,0.0,0.0,0.0
2022-06-27,6.878315177510849,0.687831517751085,10,4,6,4,4,"folha, g1",0.687831517751085,0.4,0.28080604124904474
2022-07-04,2.8284271247461903,0.282842712474619,10,2,5,6,4,"folha, g1",0.282842712474619,0.2,0.11547005383792516
2022-07-11,16.156232045040216,0.6213935401938545,26,10,19,10,9,"folha, g1",0.6213935401938545,0.38461538461538464,0.2536828504894289
2022-07-18,9.277916867529369,0.28993490211029277,32,7,23,9,12,folha,0.28993490211029277,0.21875,0.1183654281323345
2022-07-25,10.89292222699217,0.40344156396267294,27,7,18,7,12,"folha, g1",0.40344156396267294,0.25925925925925924,0.1647043287898285
2022-08-01,11.136969154856542,0.4124803390687608,27,7,24,7,12,"folha, g1",0.4124803390687608,0.25925925925925924,0.16839439327477618
2022-08-08,19.484036965334244,0.4995906914188268,39,11,43,7,14,"folha, g1",0.4995906914188268,0.28205128205128205,0.20395704570339537
2022-08-15,22.281827284053428,0.5434592020500836,41,10,43,14,10,folha,0.5434592020500836,0.24390243902439024,0.22186629017380177
2022-08-22,9.485281374238571,0.27897886394819327,34,5,34,7,6,"folha, g1",0.27897886394819327,0.14705882352941177,0.11389264428240053
